iter	MultiClass
132	0.5068299662
133	0.5060857744
134	0.505243398
135	0.5043328789
136	0.50349682
137	0.5029511778
138	0.5018349588
139	0.500894219
140	0.5004957653
141	0.4996466795
142	0.4992659795
143	0.4985323742
144	0.4977923758
145	0.4971226033
146	0.4966458948
147	0.4963354718
148	0.4957250785
149	0.4951183231
150	0.4945138403
151	0.4936600767
152	0.4932809583
153	0.4929288131
154	0.4922155372
155	0.4911905039
156	0.4903914366
157	0.4896182766
158	0.4889793523
159	0.4879488868
160	0.4874047273
161	0.4864525361
162	0.4857352838
163	0.485265653
164	0.4841733941
165	0.4836952631
166	0.4829930867
167	0.482160163
168	0.4818595681
169	0.4816508034
170	0.4807131933
171	0.4798598524
172	0.4793913893
173	0.4790129889
174	0.4785426186
175	0.4780997495
176	0.4776549764
177	0.4765657292
178	0.4755996988
179	0.4749981596
180	0.4746862607
181	0.4741249469
182	0.4738312664
183	0.4731186071
184	0.4723219271
185	0.4717415405
186	0.4712659268
187	0.4704632758
188	0.4702949831
189	0.4700871425
190	0.4694780698
191	0.4690672716
192	0.4678386706
193	0.4673021336
194	0.4665774609
195	0.4660341521
196	0.4656899879
197	0.4652995087
198	0.4648690865
199	0.4642907036
200	0.4637796606
201	0.4632412979
202	0.4629196924
203	0.4622391254
204	0.4616200805
205	0.4607476065
206	0.4602595968
207	0.4599185188
208	0.4596915184
209	0.4592038041
210	0.4587186181
211	0.4584594726
212	0.457840172
213	0.4575706383
214	0.4568224381
215	0.4560403464
216	0.455725784
217	0.4554344267
218	0.4549201339
219	0.4544490565
220	0.4541695007
221	0.4533808763
222	0.45288594
223	0.4522433682
224	0.4519072879
225	0.451377546
226	0.450605793
227	0.450080855
228	0.449515535
229	0.449223737
230	0.4489836573
231	0.4482925658
232	0.4479174466
233	0.4472480641
234	0.4467182028
235	0.4463215933
236	0.4459419185
237	0.4455118564
238	0.4451371903
239	0.4446950691
240	0.4442950005
241	0.4438530688
242	0.4435858621
243	0.4430043341
244	0.4424993617
245	0.4418561513
246	0.4415524924
247	0.4412575041
248	0.4408284652
249	0.4405219678
250	0.440036956
251	0.4396846115
252	0.4393060204
253	0.4389946675
254	0.4386038773
255	0.4383445447
256	0.4379187822
257	0.4374555677
258	0.4371660851
259	0.4366951955
260	0.436095189
261	0.4355243509
262	0.4352902159
263	0.4350037654
264	0.4343031106
265	0.4338469025
266	0.4330746699
267	0.4326750568
268	0.4323951602
269	0.4320269201
270	0.43184449
271	0.4314073395
272	0.4312022637
273	0.4310539839
274	0.430558456
275	0.4302216889
276	0.4297273201
277	0.4290579807
278	0.4286574471
279	0.4283265515
280	0.427621708
281	0.4272731952
282	0.4268080368
283	0.4265671267
284	0.4263473399
285	0.4260324068
286	0.4254418153
287	0.4251021643
288	0.4243500495
289	0.4237231631
290	0.4233688137
291	0.4230825362
292	0.4225969807
293	0.4221794404
294	0.4217404815
295	0.421296371
296	0.4211329223
297	0.4209970808
298	0.4206550093
299	0.4202169231
300	0.4198691723
301	0.4194926325
302	0.4190236787
303	0.4186176314
304	0.4183640305
305	0.417974287
306	0.4175828429
307	0.4174709907
308	0.4169917291
309	0.4167074029
310	0.4165912142
311	0.4162169944
312	0.4159728207
313	0.4155673201
314	0.4150792036
315	0.4148505433
316	0.4146290223
317	0.4142469724
318	0.4138510194
319	0.4133147628
320	0.4131217662
321	0.4128716128
322	0.4125442178
323	0.4120555577
324	0.4116982796
325	0.4113871723
326	0.4111255708
327	0.4108020654
328	0.4105112647
329	0.4101674877
330	0.4098612214
331	0.4095516657
332	0.4092140977
333	0.4090242212
334	0.4086163978
335	0.4083442227
336	0.4080096231
337	0.4075106123
338	0.4070044471
339	0.4066588293
340	0.4060521545
341	0.405725035
342	0.4054571959
343	0.4051618415
344	0.404841061
345	0.4044805413
346	0.4041760028
347	0.4039734214
348	0.4037122211
349	0.4034733123
350	0.4031362217
351	0.402680972
352	0.402470592
353	0.4020815151
354	0.4017629764
355	0.4013246322
356	0.4010588366
357	0.4008824922
358	0.4005877218
359	0.4003867683
360	0.400119008
361	0.3998839872
362	0.3997131266
363	0.3994366545
364	0.3993015049
365	0.398657442
366	0.398201775
367	0.3979721172
368	0.3976366607
369	0.3972597579
370	0.3970355301
371	0.3966325595
372	0.3964085315
373	0.3961227902
374	0.3958149494
375	0.3956436679
376	0.3954427253
377	0.3952164995
378	0.3949634203
379	0.3947362583
380	0.3944775747
381	0.3942791756
382	0.3938582451
383	0.3936796162
384	0.3933476287
385	0.3929640503
386	0.392755933
387	0.3925569831
388	0.3921977779
389	0.3918925346
390	0.3916559669
391	0.3911805293
392	0.3910228701
393	0.3905606894
394	0.3903559256
395	0.3900812606
396	0.3898097026
397	0.3893516535
398	0.3891383929
399	0.3888740672
400	0.3885930012
401	0.3883088943
402	0.3880959428
403	0.3877502194
404	0.3874159034
405	0.3872606232
406	0.3868848281
407	0.3866988487
408	0.3865705728
409	0.3862463816
410	0.3859782448
411	0.3858350065
412	0.3855674822
413	0.3850621406
414	0.3848705024
415	0.3845751006
416	0.3842445491
417	0.3837026503
418	0.3835131924
419	0.383353602
420	0.3830891068
421	0.3829460997
422	0.3827714574
423	0.3824438884
424	0.3820440667
425	0.3818071769
426	0.3814793078
427	0.3814433934
428	0.3808718198
429	0.3805195993
430	0.3801399249
431	0.3795749934
432	0.3793721374
433	0.3791948778
434	0.378804455
435	0.3785996197
436	0.3783309422
437	0.3779802576
438	0.3777832621
439	0.3774277393
440	0.3772153726
441	0.3770073767
442	0.3768213153
443	0.3765451179
444	0.3763484019
445	0.3761289018
446	0.3758423059
447	0.3755308984
448	0.3752885898
449	0.3750595948
450	0.374660423
451	0.3745150532
452	0.3743272152
453	0.373963986
454	0.3735421821
455	0.3734568912
456	0.3733122711
457	0.3731972999
458	0.3731027645
459	0.3728966371
460	0.3725948251
461	0.3722812505
462	0.3720536398
463	0.3718762221
464	0.3717060524
465	0.3713405999
466	0.3712600312
467	0.3709671462
468	0.3708110689
469	0.370530729
470	0.3702699113
471	0.3700945811
472	0.3696816949
473	0.3695705101
474	0.3693842267
475	0.3691064905
476	0.3689239405
477	0.3685712334
478	0.368262712
479	0.3681032054
480	0.3677830878
481	0.3674989336
482	0.3673633635
483	0.3672146114
484	0.3669020751
485	0.366775848
486	0.366217861
487	0.3659771557
488	0.3658612822
489	0.3656717944
490	0.365291337
491	0.3649393334
492	0.3645885524
493	0.3644120319
494	0.3641709101
495	0.3638808727
496	0.3635907396
497	0.363377171
498	0.3632490011
499	0.3630830221
500	0.3628024454
501	0.3625680946
502	0.3623100097
503	0.3621320314
504	0.3619384659
505	0.3617900356
506	0.3616035585
507	0.3614381048
508	0.3610853503
509	0.3609383259
510	0.3607610272
511	0.3605307734
512	0.3603768608
513	0.3602880323
514	0.3600899751
515	0.3599513648
516	0.3598134882
517	0.3596188081
518	0.3594986718
519	0.3594230659
520	0.3591591633
521	0.3589157573
522	0.3588128719
523	0.3586164397
524	0.3584569134
525	0.3582126354
526	0.3581415241
527	0.3580421182
528	0.3579234212
529	0.3577580282
530	0.3575080402
531	0.3572282309
532	0.3569710975
533	0.3567370214
534	0.3565224598
535	0.3562291739
536	0.35615079
537	0.356095491
538	0.3559019805
539	0.3556867668
540	0.3554832715
541	0.3551914806
542	0.3550846438
543	0.354921356
544	0.3548168335
545	0.3547416042
546	0.3546764831
547	0.354261726
548	0.3540733211
549	0.3538365216
550	0.3536768153
551	0.3534999753
552	0.3531961509
553	0.3530930004
554	0.3528453434
555	0.3527152391
556	0.3523546456
557	0.3522500425
558	0.352025705
559	0.3518233513
560	0.3517376408
561	0.3515213425
562	0.3513695376
563	0.3512549535
564	0.3510813682
565	0.3507872709
566	0.3506563853
567	0.3505238089
568	0.3503376424
569	0.3502578933
570	0.3501678545
571	0.3498550408
572	0.3497359336
573	0.3495107567
574	0.349178699
575	0.349042197
576	0.3489488414
577	0.348796421
578	0.3485389065
579	0.3484220756
580	0.3481755659
581	0.347971082
582	0.3478224347
583	0.3474946365
584	0.3473794566
585	0.347224976
586	0.3470946504
587	0.3469629544
588	0.346735116
589	0.3466160984
590	0.3464864627
591	0.3463519202
592	0.3462681111
593	0.3460993874
594	0.345852289
595	0.3456664236
596	0.3454008206
597	0.3452890925
598	0.3450597376
599	0.3449369759
600	0.3445723244
601	0.3443523586
602	0.34414407
603	0.3439262495
604	0.3437243509
605	0.3434601325
606	0.3433400306
607	0.3432364538
608	0.343119446
609	0.3429877788
610	0.3429107674
611	0.3427834387
612	0.3426166391
613	0.3423468038
614	0.3422038742
615	0.3421030368
616	0.3419296393
617	0.3418052372
618	0.3416260433
619	0.3413893023
620	0.3411872784
621	0.3409796068
622	0.3407688012
623	0.3406370623
624	0.3405322973
625	0.3402996956
626	0.3400673357
627	0.3399434821
628	0.3398616436
629	0.3395927074
630	0.3394859418
631	0.3392275229
632	0.3389778741
633	0.3388342757
634	0.3386819711
635	0.3385417206
636	0.3383251352
637	0.3380774373
638	0.3378826048
639	0.3375914792
640	0.3374117784
641	0.3372772595
642	0.3371370113
643	0.3368722289
644	0.3366603443
645	0.3364153334
646	0.3362734541
647	0.3359733648
648	0.3358343795
649	0.3357436681
650	0.3356545328
651	0.3353466657
652	0.3351492731
653	0.3348809415
654	0.3347263985
655	0.3345735454
656	0.3343636313
657	0.3343010844
658	0.3341276556
659	0.3340060964
660	0.3338663853
661	0.333580017
662	0.333460409
663	0.3330205484
664	0.3328629227
665	0.3327742648
666	0.3326127571
667	0.3323485596
668	0.3321791345
669	0.3320753011
670	0.3319102384
671	0.3317735462
672	0.3315316385
673	0.3313948871
674	0.3310784889
675	0.3308506248
676	0.3307208413
677	0.3305529178
678	0.3304575327
679	0.3303701789
680	0.3302570873
681	0.3301449877
682	0.3299525215
683	0.3296776614
684	0.3294427795
685	0.3293175501
686	0.3291716514
687	0.3290203762
688	0.3289269068
689	0.3287460477
690	0.3285337574
691	0.3283638327
692	0.3281933032
693	0.3280095476
694	0.3278430507
695	0.3277023848
696	0.3275951145
697	0.3274336435
698	0.3271881094
699	0.3270028226
700	0.3267464158
701	0.3264835501
702	0.3264225209
703	0.3262524447
704	0.3261623222
705	0.3259783813
706	0.3257828476
707	0.3256818731
708	0.3255701675
709	0.3254419116
710	0.3252636329
711	0.3250773047
712	0.3249105659
713	0.3247954128
714	0.3245369814
715	0.3243622969
716	0.3242711203
717	0.3240684929
718	0.3239836932
719	0.3238682944
720	0.323634401
721	0.323396523
722	0.3232731549
723	0.3230801647
724	0.3229089819
725	0.3227259977
726	0.3224057342
727	0.3221582231
728	0.3219815195
729	0.3218344753
730	0.3216221837
731	0.3215302531
732	0.3213617026
733	0.3212680841
734	0.321087676
735	0.3208102526
736	0.3206285516
737	0.3205381642
738	0.3204273372
739	0.320177105
740	0.3199557952
741	0.319869126
742	0.3197522587
743	0.3196678694
744	0.3196205195
745	0.3193824071
746	0.3192545786
747	0.3191175391
748	0.3190347129
749	0.3188150077
750	0.3186018286
751	0.3185549565
752	0.3183611234
753	0.3182144637
754	0.3179040609
755	0.3178512824
756	0.3176730711
757	0.317506234
758	0.3173542736
759	0.3172378679
760	0.3170583728
761	0.31694909
762	0.3168806562
763	0.3168173619
764	0.3167135058
765	0.3164315918
766	0.3163746812
767	0.3163150874
768	0.316195199
769	0.3160397121
770	0.3158226368
771	0.3156384957
772	0.3154583881
773	0.3152821421
774	0.3150334981
775	0.314980817
776	0.3148835268
777	0.3147494893
778	0.3144534759
779	0.3143761039
780	0.3142969766
781	0.3142052561
782	0.3140838294
783	0.3138993698
784	0.313806812
785	0.3136461572
786	0.3134151768
787	0.3132262195
788	0.3130424178
789	0.3129612212
790	0.3128808949
791	0.312693974
792	0.3124850585
793	0.3122890586
794	0.3121812347
795	0.3120849713
796	0.3119667774
797	0.3117610325
798	0.3117298848
799	0.3116339385
800	0.311504791
801	0.3113761884
802	0.3111753207
803	0.3110486868
804	0.3109121884
805	0.3107107112
806	0.3106468822
807	0.3104938981
808	0.3102513852
809	0.3101626803
810	0.3100452152
811	0.3099961887
812	0.3098700067
813	0.3097642915
814	0.3096597024
815	0.3095339992
816	0.3093739503
817	0.3091733802
818	0.3090493578
819	0.3089152782
820	0.3088018208
821	0.3086350815
822	0.3084836989
823	0.3084065042
824	0.3080627182
825	0.3079627282
826	0.3077764434
827	0.3076547632
828	0.3075595362
829	0.3074696211
830	0.3073727231
831	0.3072332455
832	0.3072199144
833	0.3071731886
834	0.3071177784
835	0.3069568
836	0.3068830821
837	0.3067201656
838	0.3065656954
839	0.3063702931
840	0.3062813362
841	0.306180192
842	0.3060448918
843	0.3058696227
844	0.3057984957
845	0.305636407
846	0.3054576749
847	0.305241878
848	0.3050262719
849	0.3049547962
850	0.3046854822
851	0.304596056
852	0.3044748026
853	0.3042247935
854	0.304128251
855	0.3039403501
856	0.3038307811
857	0.3036158708
858	0.3034584616
859	0.3033396704
860	0.3031426946
861	0.3030632286
862	0.3029559758
863	0.3028378211
864	0.3027771028
865	0.3026855465
866	0.3025936464
867	0.3024059806
868	0.3021390453
869	0.3020303548
870	0.3019528728
871	0.3017944413
872	0.3016998737
873	0.3014904541
874	0.3014309071
875	0.3013136347
876	0.3011288578
877	0.3010517443
878	0.3009383751
879	0.3007810797
880	0.3006461548
881	0.3005843334
882	0.3004473329
883	0.3003361871
884	0.3001847534
885	0.3000423786
886	0.2999713705
887	0.2998799482
888	0.2996818577
889	0.2995914773
890	0.299482792
891	0.2993839646
892	0.2993233913
893	0.2991362679
894	0.2989908638
895	0.2989382696
896	0.2988202417
897	0.2987099539
898	0.298609482
899	0.2984725923
900	0.2983615596
901	0.2981728683
902	0.2981026069
903	0.2978621546
904	0.2977399433
905	0.2975069108
906	0.2974460888
907	0.2972457893
908	0.2970958284
909	0.2969199743
910	0.2967417207
911	0.2965888827
912	0.2965005726
913	0.2963718337
914	0.2962930403
915	0.296189335
916	0.2960669241
917	0.2957995118
918	0.2956784454
919	0.2955843421
920	0.2955241103
921	0.2954285741
922	0.2953568617
923	0.2952219735
924	0.2951122837
925	0.2950327124
926	0.2948986414
927	0.2948080348
928	0.2946732423
929	0.2946030072
930	0.2945393965
931	0.2942922811
932	0.2941662224
933	0.294080299
934	0.2940202867
935	0.2937962137
936	0.2937008735
937	0.2936307158
938	0.2934879294
939	0.2932830459
940	0.2931364421
941	0.2930598521
942	0.2929766302
943	0.2927804097
944	0.2926922597
945	0.2925036586
946	0.2923337331
947	0.292104491
948	0.2919279434
949	0.2918402985
950	0.2916915707
951	0.2915642566
952	0.2914097212
953	0.2913416086
954	0.2912721575
955	0.2911879016
956	0.2910285433
957	0.2909302962
958	0.2908493463
959	0.2907674037
960	0.2906983071
961	0.2905673243
962	0.2903771374
963	0.2903081657
964	0.2901960006
965	0.2901077293
966	0.2900057644
967	0.2898235083
968	0.2896213609
969	0.2894389664
970	0.2892645138
971	0.2891510402
972	0.2890718594
973	0.2890004978
974	0.2889458099
975	0.2888525871
976	0.2886692084
977	0.28857378
978	0.2883952356
979	0.2883127504
980	0.2882561306
981	0.2880719716
982	0.2878325369
983	0.2877474443
984	0.2876798716
985	0.2875829052
986	0.2875268388
987	0.2874038642
988	0.2872870181
989	0.2871118025
990	0.2869607085
991	0.2867507904
992	0.286622972
993	0.2865388182
994	0.2864621939
995	0.2863634986
996	0.2862812494
997	0.286205845
998	0.2860594054
999	0.2859640835
